,Zip Code,"Volume Sold (Liters), Total","Sale (Dollars), Total","Volume Sold (Liters), Average","Sale (Dollars), Average","Price Per Liter, Average","Margin, Total","Price Per Bottle, Average"
0,50002,335.85,4958.04,8.95096153846,129.295865385,16.3344490232,1663.48,11.3110096154
1,50003,2737.52,38095.16,10.4588936937,136.528785586,15.0096191656,12734.43,10.4479333333
2,50006,629.24,9031.81,6.91472527473,99.2506593407,16.5811368394,3017.89,18.0746153846
3,50009,16284.0,241028.59,10.7269300701,164.469586276,18.7177416405,80566.24,15.5994634431
4,50010,52302.32,767805.14,10.3852533976,143.129883058,17.7785039209,256762.94,14.5169397353
5,50014,2620.01,36105.67,7.80918450213,109.414798926,19.7334629576,12054.9,17.1278571051
6,50020,686.6,8716.27,7.77946570973,87.6076515152,15.1570836181,2907.57,12.2949481659
7,50021,20834.47,289434.02,8.75990435146,123.182039592,16.8642257001,96963.22,14.0844171019
8,50022,7199.92,93176.8,10.2355148102,120.998893574,16.0536406748,31164.05,13.8305375038
9,50023,11379.28,179657.93,6.40356184881,86.2920299641,17.4840601726,60094.78,14.2878024145
10,50033,356.11,4582.04,5.93516666667,76.3673333333,17.6529107143,1529.42,11.0606666667
11,50035,677.19,9664.23,2.16354632588,30.8761341853,17.4808326272,3226.09,12.7519488818
12,50036,11145.17,141982.36,10.3349709126,128.019194264,16.1487976051,47756.71,12.8279155254
13,50044,207.0,1826.94,13.8,121.796,10.3057460317,610.02,6.17533333333
14,50046,110.46,1425.39,2.98540540541,38.5240540541,15.8076118848,478.32,12.6024324324
15,50047,2137.0,23639.01,17.6611570248,195.363719008,15.8691892956,8173.78,14.0005785124
16,50048,257.2,4060.65,9.18571428571,145.023214286,17.7181632653,1354.17,10.9967857143
17,50049,2621.54,36768.2,8.23494505495,127.131126374,17.0006015585,12295.25,14.3085714286
18,50054,1067.11,12749.19,6.91834913793,91.6668103448,15.1305597443,4264.17,11.5574224138
19,50056,289.5,3042.18,13.1590909091,138.280909091,12.1071428571,1014.42,11.9686363636
20,50058,556.95,6899.61,6.55235294118,81.1718823529,16.040022409,2312.07,14.6735294118
21,50060,691.75,8603.63,6.34633027523,78.9323853211,14.7641896024,2878.96,15.5804587156
22,50069,669.18,8153.96,8.07030612245,96.8912244898,14.7908703839,2732.88,11.1712755102
23,50071,124.8,1821.3,11.3454545455,165.572727273,15.1570238095,610.02,10.9727272727
24,50072,272.97,2854.65,8.5303125,89.2078125,16.3654240277,953.43,11.744375
25,50075,510.57,6228.02,6.71802631579,81.9476315789,16.2750579574,2102.45,11.6313157895
26,50076,273.0,2869.68,14.3684210526,151.035789474,11.7572681704,960.06,11.8831578947
27,50107,256.5,2893.69,13.5,152.299473684,18.1920802005,975.64,13.6242105263
28,50109,326.36,3770.35,7.25244444444,83.7855555556,15.1952169312,1257.53,10.2922222222
29,50111,8052.43,112407.2,7.55403185799,103.225048725,16.9652361134,37618.04,13.6668690071
30,50112,6876.13,98587.54,7.10990411027,104.159293562,18.6045899308,32950.54,14.5756020492
31,50115,607.24,7352.33,5.62259259259,68.0771296296,13.5748801081,2459.08,12.0215740741
32,50122,408.12,3876.58,6.69049180328,63.5504918033,13.2457825917,1302.65,12.5555737705
33,50123,227.57,2418.45,9.48208333333,100.76875,15.0447767857,809.79,9.10458333333
34,50124,262.5,3817.14,9.72222222222,141.375555556,15.4687830688,1274.58,12.8262962963
35,50125,12779.51,155639.26,10.073958442,116.248197524,14.5866815215,52271.6,12.9938641789
36,50126,6450.26,85354.7,13.3310757734,151.063662452,15.2712148648,28541.75,13.5848686803
37,50129,5755.51,72052.71,7.44196612578,95.3549009548,17.1658762312,24308.68,13.9670327499
38,50130,400.11,3763.24,6.35095238095,59.733968254,14.0216809368,1262.93,10.373015873
39,50131,6386.63,96304.73,5.72475731545,91.8358515812,18.5668777157,32257.93,13.7475931749
40,50138,5935.16,79306.6,9.00189299578,110.272223767,16.1315234845,26497.36,13.4026391129
41,50140,527.16,6878.97,6.14173202614,78.7261928105,16.1988956968,2304.89,10.8299400871
42,50142,501.26,6812.21,2.19850877193,29.8781140351,17.0001438033,2278.73,13.4070614035
43,50144,630.5,8550.49,7.8696969697,104.887984848,14.2749227994,2859.8,14.1158333333
44,50150,48.15,812.44,4.37727272727,73.8581818182,18.6603463203,271.0,10.9772727273
45,50156,691.26,8566.47,4.54776315789,56.3583552632,14.8814091149,2860.0,12.3273026316
46,50158,17349.74,253121.77,9.5400989976,131.032635149,16.2479090133,84578.94,14.1438946028
